timestamp,lat,lon,orientation,fix_quality,hdop,numsats,cog,sog
1733437388.853085,48.68483709666667,-123.19208829,38.9,2,0.7,27,0,0
1733437389.057092,48.68483709666667,-123.19208829,38.8,2,0.7,27,0,0
1733437389.2557728,48.68483709666667,-123.19208829,38.8,2,0.7,27,0,0
1733437389.450682,48.684837265,-123.19208824166667,38.9,2,0.7,27,0,0
1733437389.6607819,48.684837265,-123.19208824166667,38.9,2,0.7,27,0,0
1733437389.8557832,48.684837265,-123.19208824166667,38.9,2,0.7,27,0,0
1733437390.057863,48.684837265,-123.19208824166667,38.9,2,0.7,27,0,0
1733437390.2519395,48.684837265,-123.19208824166667,38.9,2,0.7,27,0,0
1733437390.4568634,48.684837265,-123.19208824166667,38.9,2,0.7,27,0,0
1733437390.654093,48.684837398333336,-123.19208853666666,38.8,2,0.7,27,0,0
1733437390.853279,48.684837398333336,-123.19208853666666,38.8,2,0.7,27,0,0
1733437391.0523667,48.684837398333336,-123.19208853666666,38.7,2,0.7,27,0,0
1733437391.2731123,48.684837398333336,-123.19208853666666,38.7,2,0.7,27,0,0
1733437391.458633,48.684837398333336,-123.19208853666666,38.7,2,0.7,27,0,0
1733437391.6653385,48.684837545,-123.19208846333333,38.7,2,0.7,27,0,0
1733437391.853653,48.684837545,-123.19208846333333,38.7,2,0.7,27,0,0
1733437392.0561986,48.684837545,-123.19208846333333,38.8,2,0.7,27,0,0
1733437392.2553911,48.684837545,-123.19208846333333,38.8,2,0.7,27,0,0
1733437392.4582267,48.684837695,-123.19208886666667,38.8,2,0.7,27,0,0
1733437392.6615868,48.684837695,-123.19208886666667,38.8,2,0.7,27,0,0
1733437392.8583882,48.684837695,-123.19208886666667,38.8,2,0.7,27,0,0
1733437393.0630064,48.684837695,-123.19208886666667,38.7,2,0.7,27,0,0
1733437393.2590065,48.684837695,-123.19208886666667,38.7,2,0.7,27,0,0
1733437393.4617574,48.684837656666666,-123.19208865166667,38.8,2,0.7,27,0,0
1733437393.6601355,48.684837656666666,-123.19208865166667,38.8,2,0.7,27,0,0
1733437393.8543108,48.684837656666666,-123.19208865166667,38.8,2,0.7,27,0,0
1733437394.057051,48.684837656666666,-123.19208865166667,38.9,2,0.7,27,0,0
1733437394.2644346,48.684837656666666,-123.19208865166667,38.9,2,0.7,27,0,0
1733437394.4597125,48.684837656666666,-123.19208865166667,38.9,2,0.7,27,0,0
1733437394.6570454,48.684837735,-123.192089205,38.9,2,0.7,27,0,0
1733437394.8618076,48.684837735,-123.192089205,38.9,2,0.7,27,0,0
1733437395.0542755,48.684837735,-123.192089205,38.7,2,0.7,27,0,0
1733437395.265204,48.684837735,-123.192089205,38.7,2,0.7,27,0,0
1733437395.4582574,48.684837735,-123.192089205,38.7,2,0.7,27,0,0
1733437395.6636043,48.68483789166667,-123.19208922333334,39.1,2,0.7,27,0,0
1733437395.8624973,48.68483789166667,-123.19208922333334,39.1,2,0.7,27,0,0
1733437396.062785,48.68483789166667,-123.19208922333334,39.1,2,0.7,27,0,0
1733437396.257739,48.68483789166667,-123.19208922333334,39.1,2,0.7,27,0,0
