timestamp,utc,latitude,longitude,fix_quality,numsats,hdop,orthometric_height
1733437124.01083,221844.0,48.684825016666665,-123.19206232166667,2,26,0.7,1.297
1733437125.0028572,221845.0,48.68482499,-123.192062395,2,26,0.7,1.287
1733437126.00648,221846.0,48.68482503333333,-123.192062505,2,26,0.7,1.296
1733437127.0033672,221847.0,48.684825055,-123.19206250833334,2,26,0.7,1.307
1733437128.0021424,221848.0,48.684824991666666,-123.19206254333334,2,26,0.7,1.293
1733437129.008628,221849.0,48.68482506833333,-123.192062455,2,26,0.7,1.309
1733437130.0033405,221850.0,48.684824983333336,-123.19206259666667,2,26,0.7,1.301
1733437131.0024176,221851.0,48.684824971666664,-123.19206248666667,2,26,0.7,1.296
1733437132.003053,221852.0,48.68482501333333,-123.19206271833333,2,26,0.7,1.306
1733437133.0038285,221853.0,48.68482496833333,-123.19206255833333,2,26,0.7,1.291
1733437134.0028062,221854.0,48.68482493166667,-123.192062715,2,26,0.7,1.301
1733437135.0103347,221855.0,48.68482490666667,-123.1920626,2,26,0.7,1.294
1733437136.0051932,221856.0,48.68482504166667,-123.19206276,2,26,0.7,1.304
1733437137.0020308,221857.0,48.684824926666664,-123.19206257333333,2,26,0.7,1.294
1733437138.0115268,221858.0,48.684825108333335,-123.19206286666666,2,26,0.7,1.294
1733437139.0093832,221859.0,48.68482493166667,-123.192062715,2,26,0.7,1.294
1733437140.0101237,221900.0,48.68482513166666,-123.192063015,2,26,0.7,1.302
1733437141.00176,221901.0,48.68482492166667,-123.19206289166667,2,26,0.7,1.286
1733437142.0019646,221902.0,48.68482514666667,-123.19206307,2,26,0.7,1.286
1733437143.0083187,221903.0,48.68482519,-123.19206304,2,26,0.7,1.283
1733437144.008983,221904.0,48.68482521166667,-123.19206301833333,2,26,0.7,1.288
1733437145.0020795,221905.0,48.68482545,-123.19206315166667,2,26,0.7,1.296
1733437146.0095623,221906.0,48.684825485,-123.19206300666667,2,26,0.7,1.288
1733437147.00947,221907.0,48.684825405,-123.19206337,2,26,0.7,1.289
1733437148.0015213,221908.0,48.684825458333336,-123.19206297166667,2,26,0.7,1.289
1733437149.0085485,221909.0,48.68482550833333,-123.19206319,2,26,0.7,1.288
1733437150.0042984,221910.0,48.68482550833333,-123.19206308333334,2,26,0.7,1.284
1733437151.0017529,221911.0,48.68482556666667,-123.192063375,2,26,0.7,1.296
1733437152.0013669,221912.0,48.684825491666665,-123.192063235,2,26,0.7,1.293
1733437153.0086405,221913.0,48.68482554166667,-123.19206340166667,2,26,0.7,1.296
1733437154.0091088,221914.0,48.684825458333336,-123.19206347333333,2,26,0.7,1.291
1733437155.009798,221915.0,48.68482545,-123.19206339333333,2,26,0.7,1.286
1733437156.002358,221916.0,48.68482539833333,-123.19206352666667,2,26,0.7,1.279
1733437157.0083258,221917.0,48.684825385,-123.19206353833333,2,26,0.7,1.286
1733437158.0085893,221918.0,48.684825335,-123.19206362666667,2,26,0.7,1.283
1733437159.0085552,221919.0,48.68482531666667,-123.19206355,2,26,0.7,1.284
1733437160.0028806,221920.0,48.684825335,-123.192063775,2,26,0.7,1.285
1733437161.0026379,221921.0,48.68482519166667,-123.19206341833333,2,26,0.7,1.273
1733437162.0033443,221922.0,48.684825475,-123.19206387666667,2,26,0.7,1.292
1733437163.004098,221923.0,48.684825286666666,-123.19206348,2,26,0.7,1.293
1733437164.0017223,221924.0,48.68482538833333,-123.19206390333333,2,26,0.7,1.295
1733437164.9998372,221925.0,48.68482526,-123.19206360333334,2,26,0.7,1.293
1733437166.0008538,221926.0,48.68482546166667,-123.19206393833333,2,26,0.7,1.295
1733437167.0014958,221927.0,48.684825333333336,-123.192063835,2,26,0.7,1.29
1733437168.007885,221928.0,48.684825436666664,-123.19206402833333,2,26,0.7,1.286
1733437169.0004225,221929.0,48.68482530166666,-123.1920639,2,26,0.7,1.286
1733437170.0004866,221930.0,48.68482546833334,-123.19206395833334,2,25,0.8,1.288
1733437171.007563,221931.0,48.684825438333334,-123.19206403166666,2,25,0.8,1.296
1733437172.0032914,221932.0,48.68482539833333,-123.19206389166666,2,25,0.7,1.291
1733437173.0030134,221933.0,48.684825411666665,-123.19206422,2,26,0.7,1.303
1733437173.9996843,221934.0,48.684825485,-123.19206405166666,2,26,0.7,1.299
1733437175.0024097,221935.0,48.68482524,-123.19206422333333,2,26,0.7,1.31
1733437176.0005522,221936.0,48.68482537333333,-123.19206424333333,2,27,0.7,1.307
1733437177.001473,221937.0,48.68482523,-123.19206427,2,27,0.7,1.302
1733437177.9995623,221938.0,48.684825215000004,-123.19206436,2,27,0.7,1.308
1733437178.9998848,221939.0,48.68482521333333,-123.19206437833333,2,27,0.7,1.312
1733437180.0001824,221940.0,48.68482525833333,-123.19206456333333,2,27,0.7,1.305
1733437180.9996474,221941.0,48.68482531,-123.19206458333333,2,27,0.7,1.305
1733437181.9995775,221942.0,48.68482541,-123.192064825,2,27,0.7,1.301
1733437182.9994338,221943.0,48.684825425,-123.19206486,2,27,0.7,1.308
1733437183.99965,221944.0,48.68482527,-123.19206502333333,2,27,0.7,1.305
1733437185.0001664,221945.0,48.684825393333334,-123.19206509333333,2,27,0.7,1.322
1733437186.0064225,221946.0,48.684825391666664,-123.192065075,2,27,0.7,1.321
1733437187.0007882,221947.0,48.684825518333334,-123.19206528166667,2,27,0.7,1.317
1733437188.0031004,221948.0,48.68482561,-123.19206544833334,2,27,0.7,1.32
1733437189.0067728,221949.0,48.684825785,-123.19206574833333,2,26,0.7,1.323
1733437189.9991043,221950.0,48.68482569166667,-123.19206563833333,2,26,0.7,1.317
