timestamp,distance [mm],confidence [%]
2022-08-15 10:52:50.496000,1127,100
2022-08-15 10:52:50.549000,1136,100
2022-08-15 10:52:50.628000,1147,100
2022-08-15 10:52:50.678000,1149,100
2022-08-15 10:52:50.753000,1149,100
2022-08-15 10:52:50.825000,1153,100
2022-08-15 10:52:50.878000,1157,100
2022-08-15 10:52:50.952000,1162,100
2022-08-15 10:52:51.010000,1161,100
2022-08-15 10:52:51.079000,1164,100
2022-08-15 10:52:51.138000,1166,100
2022-08-15 10:52:51.210000,1166,100
2022-08-15 10:52:51.268000,1167,100
2022-08-15 10:52:51.370000,1164,100
2022-08-15 10:52:51.421000,1154,100
2022-08-15 10:52:51.506000,1148,100
2022-08-15 10:52:51.537000,1149,100
2022-08-15 10:52:51.606000,1148,100
2022-08-15 10:52:51.683000,1145,100
2022-08-15 10:52:51.755000,1141,100
2022-08-15 10:52:51.805000,1138,100
2022-08-15 10:52:51.875000,1135,100
2022-08-15 10:52:51.948000,1127,100
2022-08-15 10:52:52.015000,1125,100
2022-08-15 10:52:52.087000,1127,100
2022-08-15 10:52:52.156000,1123,100
2022-08-15 10:52:52.199000,1121,100
2022-08-15 10:52:52.282000,1116,100
2022-08-15 10:52:52.336000,1115,100
2022-08-15 10:52:52.405000,1108,100
2022-08-15 10:52:52.464000,1105,100
2022-08-15 10:52:52.533000,1102,100
2022-08-15 10:52:52.589000,1098,100
2022-08-15 10:52:52.660000,1095,100
2022-08-15 10:52:52.719000,1094,100
2022-08-15 10:52:52.804000,1088,100
2022-08-15 10:52:52.859000,1084,100
2022-08-15 10:52:52.930000,1079,100
2022-08-15 10:52:52.999000,1076,100
2022-08-15 10:52:53.052000,1077,100
2022-08-15 10:52:53.137000,1076,100
2022-08-15 10:52:53.183000,1070,100
2022-08-15 10:52:53.253000,1067,100
2022-08-15 10:52:53.327000,1064,100
2022-08-15 10:52:53.386000,1058,100
2022-08-15 10:52:53.452000,1055,100
2022-08-15 10:52:53.513000,1050,100
2022-08-15 10:52:53.590000,1047,100
2022-08-15 10:52:53.647000,1043,100
2022-08-15 10:52:53.722000,1042,100
2022-08-15 10:52:53.784000,1040,100
2022-08-15 10:52:53.853000,1036,100
2022-08-15 10:52:53.912000,1036,100
2022-08-15 10:52:53.987000,1036,100
2022-08-15 10:52:54.048000,1035,100
2022-08-15 10:52:54.121000,1033,100
2022-08-15 10:52:54.174000,1033,100
2022-08-15 10:52:54.241000,1033,100
2022-08-15 10:52:54.309000,1033,100
2022-08-15 10:52:54.372000,1032,100
2022-08-15 10:52:54.451000,1034,100
2022-08-15 10:52:54.508000,1034,100
2022-08-15 10:52:54.581000,1033,100
2022-08-15 10:52:54.653000,1032,100
2022-08-15 10:52:54.707000,1031,100
2022-08-15 10:52:54.777000,1031,100
2022-08-15 10:52:54.832000,1035,100
2022-08-15 10:52:54.902000,1035,100
2022-08-15 10:52:54.970000,1038,100
2022-08-15 10:52:55.037000,1039,100
2022-08-15 10:52:55.104000,1040,100
2022-08-15 10:52:55.166000,1039,100
2022-08-15 10:52:55.258000,1038,100
2022-08-15 10:52:55.297000,1035,100
2022-08-15 10:52:55.386000,1039,100
2022-08-15 10:52:55.457000,1038,100
2022-08-15 10:52:55.504000,1037,100
2022-08-15 10:52:55.579000,1037,100
2022-08-15 10:52:55.647000,1035,100
2022-08-15 10:52:55.705000,1031,100
2022-08-15 10:52:55.770000,1029,100
2022-08-15 10:52:55.845000,1029,100
2022-08-15 10:52:55.913000,1026,100
2022-08-15 10:52:55.970000,1023,100
2022-08-15 10:52:56.037000,1023,100
2022-08-15 10:52:56.093000,1020,100
2022-08-15 10:52:56.177000,1014,100
2022-08-15 10:52:56.233000,1013,100
2022-08-15 10:52:56.290000,1006,100
2022-08-15 10:52:56.368000,1001,100
2022-08-15 10:52:56.433000,999,100
2022-08-15 10:52:56.492000,995,100
2022-08-15 10:52:56.570000,992,100
2022-08-15 10:52:56.627000,994,100
2022-08-15 10:52:56.694000,987,100
2022-08-15 10:52:56.757000,987,100
2022-08-15 10:52:56.821000,992,100
2022-08-15 10:52:56.892000,988,100
2022-08-15 10:52:56.950000,987,100
2022-08-15 10:52:57.018000,983,100
2022-08-15 10:52:57.076000,980,100
2022-08-15 10:52:57.156000,975,100
2022-08-15 10:52:57.214000,974,100
2022-08-15 10:52:57.282000,973,100
2022-08-15 10:52:57.357000,969,100
2022-08-15 10:52:57.442000,964,100
2022-08-15 10:52:57.476000,960,100
2022-08-15 10:52:57.546000,954,100
2022-08-15 10:52:57.615000,951,100
2022-08-15 10:52:57.687000,946,100
2022-08-15 10:52:57.739000,941,100
2022-08-15 10:52:57.811000,940,100
2022-08-15 10:52:57.875000,939,100
2022-08-15 10:52:57.947000,931,100
2022-08-15 10:52:58.011000,930,100
2022-08-15 10:52:58.084000,931,100
2022-08-15 10:52:58.140000,921,100
2022-08-15 10:52:58.216000,917,100
2022-08-15 10:52:58.272000,912,100
2022-08-15 10:52:58.337000,911,100
2022-08-15 10:52:58.412000,909,100
2022-08-15 10:52:58.469000,906,100
2022-08-15 10:52:58.534000,904,100
2022-08-15 10:52:58.613000,902,100
2022-08-15 10:52:58.660000,899,100
2022-08-15 10:52:58.735000,901,100
2022-08-15 10:52:58.792000,905,100
2022-08-15 10:52:58.874000,906,100
2022-08-15 10:52:58.926000,906,100
2022-08-15 10:52:59.002000,905,100
2022-08-15 10:52:59.054000,905,100
2022-08-15 10:52:59.131000,904,100
2022-08-15 10:52:59.206000,900,100
2022-08-15 10:52:59.262000,901,100
2022-08-15 10:52:59.343000,899,100
2022-08-15 10:52:59.397000,893,100
2022-08-15 10:52:59.484000,897,100
2022-08-15 10:52:59.527000,897,100
2022-08-15 10:52:59.610000,896,100
2022-08-15 10:52:59.662000,895,100
2022-08-15 10:52:59.724000,895,100
2022-08-15 10:52:59.799000,897,100
2022-08-15 10:52:59.853000,901,100
2022-08-15 10:52:59.933000,899,100
2022-08-15 10:52:59.988000,898,100
2022-08-15 10:53:00.071000,895,100
2022-08-15 10:53:00.127000,891,100
2022-08-15 10:53:00.197000,889,100
2022-08-15 10:53:00.248000,888,100
2022-08-15 10:53:00.326000,889,100
2022-08-15 10:53:00.383000,887,100
2022-08-15 10:53:00.453000,885,100
2022-08-15 10:53:00.509000,883,100
2022-08-15 10:53:00.578000,882,100
2022-08-15 10:53:00.640000,881,100
2022-08-15 10:53:00.712000,881,100
2022-08-15 10:53:00.786000,877,100
