"X","date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","HavDIS","EucDIS"
1285,"8/15/2022","10:17:25","00:21:25",-0.7,285,90,47.6196365,-122.3633422,10,56.79,21.4166666666667,0,0
1286,"8/15/2022","10:17:26","00:21:26",-0.5,303,90,47.6196403,-122.3633422,10,56.79,21.4333333333333,0.423014065129185,0.422337977916543
1287,"8/15/2022","10:17:27","00:21:27",-0.7,282,90,47.6196403,-122.3633422,10,56.75,21.45,0,0
1288,"8/15/2022","10:17:28","00:21:28",-1,235,90,47.6196441,-122.3633499,10,56.75,21.4666666666667,0.716070407173737,0.71635186965811
1289,"8/15/2022","10:17:29","00:21:29",-0.9,207,90,47.6196441,-122.3633499,10,56.75,21.4833333333333,0,0
1290,"8/15/2022","10:17:30","00:21:30",-1,188,90,47.6196479,-122.3633499,10,56.73,21.5,0.423014064421069,0.422337976645075
1291,"8/15/2022","10:17:31","00:21:31",-0.7,182,90,47.6196479,-122.3633422,10,56.71,21.5166666666667,0.577767994912468,0.578610890143879
1292,"8/15/2022","10:17:32","00:21:32",-1.3,184,90,47.6196517,-122.3633499,10,56.68,21.5333333333333,0.716070339407893,0.716351802379212
1293,"8/15/2022","10:17:33","00:21:33",-1,182,90,47.6196517,-122.3633499,10,56.66,21.55,0,0
1294,"8/15/2022","10:17:34","00:21:34",-1.2,171,90,47.6196517,-122.3633499,10,56.64,21.5666666666667,0,0
1295,"8/15/2022","10:17:35","00:21:35",-1.1,178,90,47.6196556,-122.3633499,10,56.61,21.5833333333333,0.434146013969282,0.43345213532539
1296,"8/15/2022","10:17:36","00:21:36",-1,206,90,47.6196556,-122.3633499,10,56.61,21.6,0,0
1297,"8/15/2022","10:17:37","00:21:37",-1.2,232,90,47.6196594,-122.3633499,10,56.61,21.6166666666667,0.4230140658373,0.422337979444682
1298,"8/15/2022","10:17:38","00:21:38",-1.1,260,90,47.6196594,-122.3633499,10,56.61,21.6333333333333,0,0
1299,"8/15/2022","10:17:39","00:21:39",-1.5,283,90,47.6196556,-122.3633422,10,56.61,21.65,0.716070271168702,0.716351735334767
1300,"8/15/2022","10:17:40","00:21:40",-1.3,316,90,47.6196556,-122.3633422,10,56.61,21.6666666666667,0,0
1301,"8/15/2022","10:17:41","00:21:41",-1.4,337,90,47.6196594,-122.3633422,10,56.64,21.6833333333333,0.4230140658373,0.422337979787726
1302,"8/15/2022","10:17:42","00:21:42",-1.6,336,90,47.6196632,-122.3633422,10,56.64,21.7,0.423014064421069,0.422337977927054
1303,"8/15/2022","10:17:43","00:21:43",-1.5,341,90,47.6196632,-122.3633346,10,56.64,21.7166666666667,0.57026434583974,0.571096294924161
1304,"8/15/2022","10:17:44","00:21:44",-1.9,340,90,47.6196632,-122.363327,10,56.61,21.7333333333333,0.570264347748957,0.571096297230128
1305,"8/15/2022","10:17:45","00:21:45",-1.6,344,90,47.6196632,-122.3633193,10,56.61,21.75,0.577767823923745,0.578610720534486
1306,"8/15/2022","10:17:46","00:21:46",-2,343,90,47.6196594,-122.3633117,10,56.59,21.7666666666667,0.710029822365249,0.710295976131032
1307,"8/15/2022","10:17:47","00:21:47",-1.8,333,90,47.6196556,-122.3633041,10,56.57,21.7833333333333,0.710029854964975,0.710296009080014
1308,"8/15/2022","10:17:48","00:21:48",-1.7,314,90,47.6196556,-122.3632965,10,56.55,21.8,0.570264428736207,0.571096379629209
1309,"8/15/2022","10:17:49","00:21:49",-1.8,305,90,47.6196556,-122.3632965,10,56.55,21.8166666666667,0,0
1310,"8/15/2022","10:17:50","00:21:51",-1.9,305,90,47.6196517,-122.3632888,10,56.53,21.8333333333333,0.722702251251808,0.722960058452867
1311,"8/15/2022","10:17:51","00:21:52",-2,298,90,47.6196517,-122.3632888,10,56.52,21.85,0,0
1312,"8/15/2022","10:17:52","00:21:53",-1.8,294,90,47.6196517,-122.3632888,10,56.53,21.8666666666667,0,0
1313,"8/15/2022","10:17:53","00:21:54",-1.9,288,90,47.6196479,-122.3632812,10,56.53,21.8833333333333,0.71002992199789,0.710296077598424
1314,"8/15/2022","10:17:54","00:21:55",-2.3,284,90,47.6196441,-122.3632736,10,56.52,21.9,0.71002995639879,0.710296111823817
1315,"8/15/2022","10:17:55","00:21:56",-2.7,279,90,47.6196403,-122.3632736,10,56.52,21.9166666666667,0.423014065129185,0.422337980053714
1316,"8/15/2022","10:17:56","00:21:57",-3.2,285,89,47.6196403,-122.3632736,10,56.52,21.9333333333333,0,0
1317,"8/15/2022","10:17:57","00:21:58",-3.4,287,89,47.6196365,-122.3632583,10,56.5,21.95,1.22348682741395,1.22482523660528
1318,"8/15/2022","10:17:58","00:21:59",-3.7,278,89,47.6196327,-122.3632583,10,56.5,21.9666666666667,0.4230140658373,0.422337981665444
1319,"8/15/2022","10:17:59","00:22:00",-3.7,256,89,47.6196327,-122.3632583,10,56.48,21.9833333333333,0,0
1320,"8/15/2022","10:18:00","00:22:01",-3.8,278,89,47.6196289,-122.3632507,10,56.46,22,0.710030088022876,0.710296244016002
1321,"8/15/2022","10:18:01","00:22:02",-4.2,277,89,47.619625,-122.3632354,10,56.43,22.0166666666667,1.22738032259289,1.22870209100204
1322,"8/15/2022","10:18:02","00:22:03",-3.8,272,89,47.619625,-122.3632354,10,56.37,22.0333333333333,0,0
1323,"8/15/2022","10:18:03","00:22:04",-3.8,266,89,47.6196212,-122.3632278,10,56.35,22.05,0.710030155899521,0.71029631362984
1324,"8/15/2022","10:18:04","00:22:05",-3.6,279,89,47.6196212,-122.3632278,10,56.34,22.0666666666667,0,0
1325,"8/15/2022","10:18:05","00:22:06",-3.6,276,89,47.6196212,-122.3632278,10,56.3,22.0833333333333,0,0
1326,"8/15/2022","10:18:06","00:22:07",-3.2,278,89,47.619625,-122.3632202,10,56.26,22.1,0.710030157432922,0.710296315729084
1327,"8/15/2022","10:18:07","00:22:08",-3,279,89,47.619625,-122.3632202,10,56.23,22.1166666666667,0,0
1328,"8/15/2022","10:18:08","00:22:09",-3.2,297,89,47.6196212,-122.3632202,10,56.21,22.1333333333333,0.423014065129185,0.422337982432453
1329,"8/15/2022","10:18:09","00:22:10",-2.9,299,89,47.6196212,-122.3632125,10,56.21,22.15,0.577768288063463,0.578611189348559
1330,"8/15/2022","10:18:10","00:22:11",-3.1,300,89,47.6196212,-122.3632049,10,56.19,22.1666666666667,0.570264805860888,0.571096760831792
1331,"8/15/2022","10:18:11","00:22:12",-3.1,307,89,47.6196212,-122.3632049,10,56.16,22.1833333333333,0,0
1332,"8/15/2022","10:18:12","00:22:13",-3.7,302,89,47.6196212,-122.3632049,10,56.16,22.2,0,0
