"date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq"
"8/15/2022","09:49:04","00:00:25",-0.6,17,98,47.6197395,-122.3632507,10,60.46,2.33333333333333
"8/15/2022","09:49:05","00:00:26",-1,41,98,47.6197395,-122.3632507,10,60.26,2.35
"8/15/2022","09:49:06","00:00:27",-1.3,43,98,47.6197395,-122.3632507,10,60.04,2.36666666666667
"8/15/2022","09:49:07","00:00:28",-1.1,40,98,47.6197395,-122.3632507,10,59.79,2.38333333333333
"8/15/2022","09:49:08","00:00:29",-1.2,42,98,47.6197395,-122.3632507,10,59.58,2.4
"8/15/2022","09:49:09","00:00:30",-1.2,38,98,47.6197395,-122.3632507,10,59.36,2.41666666666667
"8/15/2022","09:49:10","00:00:31",-1.3,38,98,47.6197395,-122.3632507,10,59.14,2.43333333333333
"8/15/2022","09:49:11","00:00:32",-1.3,40,98,47.6197395,-122.3632507,10,58.98,2.45
"8/15/2022","09:49:12","00:00:33",-1.3,43,98,47.6197395,-122.3632507,10,58.84,2.46666666666667
"8/15/2022","09:49:13","00:00:34",-1.1,45,98,47.6197395,-122.3632507,10,58.69,2.48333333333333
"8/15/2022","09:49:14","00:00:35",-1.6,46,98,47.6197395,-122.3632507,10,58.55,2.5
"8/15/2022","09:49:15","00:00:36",-1.8,42,98,47.6197395,-122.3632507,10,58.46,2.51666666666667
"8/15/2022","09:49:16","00:00:37",-1.6,42,98,47.6197395,-122.3632507,10,58.33,2.53333333333333
"8/15/2022","09:49:17","00:00:38",-1.3,45,98,47.6197395,-122.3632507,10,58.23,2.55
"8/15/2022","09:49:18","00:00:39",-1.1,48,98,47.6197395,-122.3632507,10,58.14,2.56666666666667
"8/15/2022","09:49:19","00:00:40",-1.6,67,98,47.6197395,-122.3632507,10,58.03,2.58333333333333
"8/15/2022","09:49:20","00:00:41",-1.8,89,98,47.6197395,-122.3632507,10,57.94,2.6
"8/15/2022","09:49:21","00:00:42",-1.8,81,98,47.6197395,-122.3632507,10,57.85,2.61666666666667
"8/15/2022","09:49:22","00:00:43",-2,81,98,47.6197395,-122.3632507,10,57.72,2.63333333333333
"8/15/2022","09:49:23","00:00:44",-2.3,81,98,47.6197395,-122.3632507,10,57.65,2.65
"8/15/2022","09:49:24","00:00:45",-2.7,65,98,47.6197395,-122.3632507,10,57.58,2.66666666666667
"8/15/2022","09:49:25","00:00:46",-2.5,62,98,47.6197395,-122.3632507,10,57.51,2.68333333333333
"8/15/2022","09:49:26","00:00:47",-2.2,60,98,47.6197395,-122.3632507,10,57.43,2.7
"8/15/2022","09:49:27","00:00:48",-2.4,62,98,47.6197395,-122.3632507,10,57.38,2.71666666666667
"8/15/2022","09:49:28","00:00:49",-2.5,63,98,47.6197395,-122.3632507,10,57.27,2.73333333333333
"8/15/2022","09:49:29","00:00:50",-2.7,64,98,47.6197395,-122.3632507,10,57.24,2.75
"8/15/2022","09:49:30","00:00:51",-2.5,65,98,47.6197395,-122.3632507,10,57.18,2.76666666666667
"8/15/2022","09:49:31","00:00:52",-2.3,67,98,47.6197395,-122.3632507,10,57.13,2.78333333333333
"8/15/2022","09:49:32","00:00:53",-2.4,66,98,47.6197395,-122.3632507,10,57.09,2.8
"8/15/2022","09:49:33","00:00:54",-2.6,66,98,47.6197395,-122.3632507,10,57.06,2.81666666666667
"8/15/2022","09:49:34","00:00:55",-2.6,65,98,47.6197395,-122.3632507,10,57.02,2.83333333333333
"8/15/2022","09:49:35","00:00:56",-2.6,65,98,47.6197395,-122.3632507,10,56.97,2.85
"8/15/2022","09:49:36","00:00:57",-2.3,65,98,47.6197395,-122.3632507,10,56.95,2.86666666666667
"8/15/2022","09:49:37","00:00:58",-2.2,75,98,47.6197395,-122.3632507,10,56.91,2.88333333333333
"8/15/2022","09:49:38","00:00:59",-2.5,74,98,47.6197395,-122.3632507,10,56.86,2.9
"8/15/2022","09:49:39","00:01:00",-2.1,74,98,47.6197395,-122.3632507,10,56.82,2.91666666666667
"8/15/2022","09:49:40","00:01:01",-2.1,72,98,47.6197395,-122.3632507,10,56.79,2.93333333333333
"8/15/2022","09:49:41","00:01:02",-2.1,72,98,47.6197395,-122.3632507,10,56.75,2.95
"8/15/2022","09:49:42","00:01:03",-2.3,72,98,47.6197395,-122.3632507,10,56.75,2.96666666666667
"8/15/2022","09:49:43","00:01:04",-2.4,72,98,47.6197395,-122.3632507,10,56.73,2.98333333333333
"8/15/2022","09:49:44","00:01:05",-1.9,73,98,47.6197395,-122.3632507,10,56.71,3
"8/15/2022","09:49:45","00:01:06",-2.1,73,98,47.6197395,-122.3632507,10,56.68,3.01666666666667
"8/15/2022","09:49:46","00:01:07",-2.5,71,98,47.6197395,-122.3632507,10,56.66,3.03333333333333
"8/15/2022","09:49:47","00:01:08",-2.2,71,98,47.6197395,-122.3632507,10,56.64,3.05
"8/15/2022","09:49:48","00:01:09",-2.2,70,98,47.6197395,-122.3632507,10,56.61,3.06666666666667
"8/15/2022","09:49:49","00:01:10",-2.2,70,98,47.6197395,-122.3632507,10,56.61,3.08333333333333
"8/15/2022","09:49:50","00:01:11",-2.1,68,98,47.6197395,-122.3632507,10,56.57,3.1
"8/15/2022","09:49:51","00:01:12",-2,89,98,47.6197395,-122.3632507,10,56.57,3.11666666666667
"8/15/2022","09:49:52","00:01:13",-1.1,89,98,47.6197395,-122.3632507,10,56.55,3.13333333333333
"8/15/2022","09:49:53","00:01:14",-0.5,88,98,47.6197395,-122.3632507,10,56.52,3.15
"8/15/2022","09:49:54","00:01:15",-0.3,95,98,47.6197395,-122.3632507,10,56.52,3.16666666666667
"8/15/2022","09:49:55","00:01:16",0,136,98,47.6197395,-122.3632507,10,56.48,3.18333333333333
"8/15/2022","09:49:56","00:01:17",-0.3,139,98,47.6197395,-122.3632507,10,56.48,3.2
"8/15/2022","09:49:57","00:01:18",-0.3,139,98,47.6197395,-122.3632507,10,56.46,3.21666666666667
"8/15/2022","09:49:58","00:01:19",-0.2,138,98,47.6197395,-122.3632507,10,56.43,3.23333333333333
"8/15/2022","09:49:59","00:01:20",-1.3,134,98,47.6197395,-122.3632507,10,56.43,3.25
"8/15/2022","09:50:00","00:01:21",-1.6,129,98,47.6197395,-122.3632507,10,56.41,3.26666666666667
"8/15/2022","09:50:01","00:01:22",-2.1,79,98,47.6197395,-122.3632507,10,56.41,3.28333333333333
"8/15/2022","09:50:02","00:01:23",-2.6,58,98,47.6197395,-122.3632507,10,56.37,3.3
"8/15/2022","09:50:03","00:01:24",-1.8,46,98,47.6197395,-122.3632507,10,56.37,3.31666666666667
"8/15/2022","09:50:04","00:01:25",-1.8,41,98,47.6197395,-122.3632507,10,56.37,3.33333333333333
"8/15/2022","09:50:05","00:01:26",-1.8,44,98,47.6197395,-122.3632507,10,56.37,3.35
"8/15/2022","09:50:06","00:01:27",-2.1,46,98,47.6197395,-122.3632507,10,56.37,3.36666666666667
"8/15/2022","09:50:07","00:01:28",-2.4,48,98,47.6197395,-122.3632507,10,56.35,3.38333333333333
"8/15/2022","09:50:08","00:01:29",-2,50,98,47.6197395,-122.3632507,10,56.35,3.4
"8/15/2022","09:50:09","00:01:30",-2,50,98,47.6197395,-122.3632507,10,56.34,3.41666666666667
"8/15/2022","09:50:10","00:01:31",-1.8,50,98,47.6197395,-122.3632507,10,56.3,3.43333333333333
"8/15/2022","09:50:11","00:01:32",-2.2,50,98,47.6197395,-122.3632507,10,56.3,3.45
"8/15/2022","09:50:12","00:01:33",-2.4,48,98,47.6197395,-122.3632507,10,56.3,3.46666666666667
"8/15/2022","09:50:13","00:01:34",-1.7,48,98,47.6197395,-122.3632507,10,56.3,3.48333333333333
"8/15/2022","09:50:14","00:01:35",-1.9,48,98,47.6197395,-122.3632507,10,56.28,3.5
"8/15/2022","09:50:15","00:01:36",-2.2,48,98,47.6197395,-122.3632507,10,56.26,3.51666666666667
"8/15/2022","09:50:16","00:01:37",-2.3,48,98,47.6197395,-122.3632507,10,56.23,3.53333333333333
"8/15/2022","09:50:17","00:01:38",-1.7,48,98,47.6197395,-122.3632507,10,56.21,3.55
"8/15/2022","09:50:18","00:01:39",-1.8,49,98,47.6197395,-122.3632507,10,56.19,3.56666666666667
"8/15/2022","09:50:19","00:01:40",-2.2,49,98,47.6197395,-122.3632507,10,56.16,3.58333333333333
"8/15/2022","09:50:20","00:01:41",-2.3,48,98,47.6197395,-122.3632507,10,56.16,3.6
"8/15/2022","09:50:21","00:01:42",-1.8,49,98,47.6197395,-122.3632507,10,56.14,3.61666666666667
"8/15/2022","09:50:22","00:01:43",-1.9,49,98,47.6197395,-122.3632507,10,56.1,3.63333333333333
"8/15/2022","09:50:23","00:01:44",-2,49,98,47.6197395,-122.3632507,10,56.08,3.65
"8/15/2022","09:50:24","00:01:45",-2.1,50,98,47.6197395,-122.3632507,10,56.08,3.66666666666667
"8/15/2022","09:50:25","00:01:46",-1.9,50,98,47.6197395,-122.3632507,10,56.05,3.68333333333333
"8/15/2022","09:50:26","00:01:47",-1.9,51,98,47.6197395,-122.3632507,10,56.05,3.7
"8/15/2022","09:50:27","00:01:48",-2,51,98,47.6197395,-122.3632507,10,56.05,3.71666666666667
"8/15/2022","09:50:28","00:01:49",-1.9,51,98,47.6197395,-122.3632507,10,56.01,3.73333333333333
"8/15/2022","09:50:29","00:01:50",-2.1,50,98,47.6197395,-122.3632507,10,56.01,3.75
"8/15/2022","09:50:30","00:01:51",-2,50,98,47.6197395,-122.3632507,10,56.01,3.76666666666667
"8/15/2022","09:50:31","00:01:52",-2,50,98,47.6197395,-122.3632507,10,55.99,3.78333333333333
"8/15/2022","09:50:32","00:01:53",-1.9,50,98,47.6197395,-122.3632507,10,55.99,3.8
"8/15/2022","09:50:33","00:01:54",-1.9,51,98,47.6197395,-122.3632507,10,55.99,3.81666666666667
"8/15/2022","09:50:34","00:01:55",-2.2,51,98,47.6197395,-122.3632507,10,55.99,3.83333333333333
"8/15/2022","09:50:35","00:01:56",-2.1,52,98,47.6197395,-122.3632507,10,55.99,3.85
"8/15/2022","09:50:36","00:01:57",-1.8,52,98,47.6197395,-122.3632507,10,55.98,3.86666666666667
"8/15/2022","09:50:37","00:01:58",-1.9,50,98,47.6197395,-122.3632507,10,55.98,3.88333333333333
"8/15/2022","09:50:38","00:01:59",-2.2,50,98,47.6197395,-122.3632507,10,55.98,3.9
"8/15/2022","09:50:39","00:02:00",-2,51,98,47.6197395,-122.3632507,10,55.99,3.91666666666667
"8/15/2022","09:50:40","00:02:01",-1.8,51,98,47.6197395,-122.3632507,10,55.98,3.93333333333333
"8/15/2022","09:50:41","00:02:02",-1.9,50,98,47.6197395,-122.3632507,10,55.98,3.95
"8/15/2022","09:50:42","00:02:03",-2.1,49,98,47.6197395,-122.3632507,10,55.98,3.96666666666667
"8/15/2022","09:50:43","00:02:04",-2,49,98,47.6197395,-122.3632507,10,55.98,3.98333333333333
"8/15/2022","09:50:44","00:02:05",-1.9,49,98,47.6197395,-122.3632507,10,55.98,4
"8/15/2022","09:50:45","00:02:06",-1.9,49,98,47.6197395,-122.3632507,10,55.98,4.01666666666667
"8/15/2022","09:50:46","00:02:07",-2,49,98,47.6197395,-122.3632507,10,55.98,4.03333333333333
"8/15/2022","09:50:47","00:02:08",-2.1,49,98,47.6197395,-122.3632507,10,55.98,4.05
"8/15/2022","09:50:48","00:02:09",-2,49,98,47.6197395,-122.3632507,10,55.98,4.06666666666667
"8/15/2022","09:50:49","00:02:10",-2,48,98,47.6197395,-122.3632507,10,55.99,4.08333333333333
"8/15/2022","09:50:50","00:02:11",-1.9,49,98,47.6197395,-122.3632507,10,55.99,4.1
"8/15/2022","09:50:51","00:02:12",-1.9,49,98,47.6197395,-122.3632507,10,56.01,4.11666666666667
